id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
152,2019-07-26 17:10:54.724244,2019-07-26 17:12:18.973897,1495589,ASOS DESIGN crop tank in linen mix in black,,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,Non-stretch denim,Non-stretch denimThick,"",Main: 100% Cotton.,"",13.0,0.0
149,2019-07-26 17:10:54.714396,2019-09-10 22:39:54.670318,1467059,Simply Be tie side beach maxi skirt in black,Part of a two-piece set,Model wears: UK 18/ EU 46/ US 14,Model's height:  175 cm/5'9,"",Drapey woven fabric. The kind that doesn't stretch.,Main: 95% Polyester,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,64.0,0.0
155,2019-07-26 17:10:54.734137,2019-09-10 22:39:54.915068,1495589,Pull&Bear raw hem denim shorts two-piece in beige,Part of a two-piece set,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,"",Non-stretch denim. Thick.,Main: 100% Cotton.  ,"","Check the label before you wash it. Fresh looks are for life, not just one wash.",13.0,0.0
170,2019-07-26 17:10:54.789545,2019-07-26 17:10:54.789545,1495589,ASOS DESIGN crop tank in linen mix in black,,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,Non-stretch denim,Non-stretch denimThick,Body: 100% Cotton.,Main: 100% Cotton.,"",13.0,0.0
171,2019-07-26 17:10:54.793039,2019-07-26 17:10:54.793039,1421721,Pull&Bear broderie short sleeved top in green,,Model wears: UK S/ EU S/ US S,Model's height: 173cm/5'8,Pure cotton,Pure cottonIt's light and breathable,"","","",32.0,0.0
172,2019-07-26 17:10:54.796907,2019-07-26 17:10:54.796907,1494625,Pull&Bear pacific wrap top in yellow polka dot print,,Model wears: UK 8/ EU 36/ US 4,Model's height: 168cm/5'6,Non-stretch denim,Non-stretch denimThick,"",Main: 100% Cotton.,"",28.0,0.0
173,2019-07-26 17:10:54.800531,2019-07-26 17:10:54.800531,1474640,Pull&bear mixed print shorts in multi,,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,Non-stretch denim,Non-stretch denimThick,"",Main: 100% Cotton.,"",29.9,0.0
174,2019-07-26 17:10:54.80455,2019-07-26 17:10:54.80455,1456546,ASOS DESIGN Tall top with broidery sleeve,,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,Go-with-everything jersey,Go-with-everything jerseyIt's a soft all-rounder,"",3% Spandex.,"",23.0,0.0
176,2019-07-26 17:10:54.812221,2019-07-26 17:10:54.812221,1425172,Bershka striped jumpsuit in white,,Model wears: UK 8/ EU 36/ US 4,Model's height: 178cm/5'10,"","","","","",26.0,0.0
177,2019-07-26 17:10:54.815725,2019-07-26 17:10:54.815725,1476242,ASOS DESIGN Maternity traditional pyjama pants set with piping,,Model wears: UK 8/ EU 36/ US 4,Model's height:  173 cm/5'8,"",Stretch denim,"",Main: 98% Cotton  2% Spandex.,2% Spandex.,45.0,0.0
178,2019-07-26 17:10:54.819239,2019-07-26 17:10:54.819239,1415544,ASOS DESIGN Tall top with broidery sleeve,,Model wears: UK 18/ EU 46/ US 14,Model's height: 178cm/5'10,Stretch denim,Stretch denimFor a tight cut without the restriction,"",21% Polyester  12% Viscose  1% Spandex.,12% Viscose  1% Spandex.,23.0,0.0
